sample,seed,fractal_dimension
1,42,1.438766
2,43,1.385603
3,44,1.405024
4,45,1.423558
5,46,1.421728
6,47,1.457584
7,48,1.512488
8,49,1.337874
9,50,1.448820
10,51,1.446662
