scenario,Su,Sv,C,t_end,std_u,std_v,mean_u,mean_v,max_u,max_v
mixing,10.0,3.0,9.0,50.0,0.21550753028684283,0.21030588570372757,0.20483881380146182,0.20522019083681478,0.49201134710000166,0.4619285013865137
engulfment,100.0,10.0,20.0,50.0,0.382752899952584,0.3326389607024473,0.23615155369322538,0.20522019083713372,0.9571590488292108,0.9746976566977208
partial,10.0,10.0,5.0,50.0,0.34245555594335947,0.3311262235890567,0.20483881380148777,0.20522019083712945,0.9292914305378613,0.9501721183019339
sorting,10.0,3.0,0.0,50.0,0.34033409772581674,0.24753175970306343,0.2048388138014944,0.20522019083713716,0.9907853812935429,0.8008372099619295
